episode,score
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,3
27,0
28,1
29,2
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,0
47,0
48,0
49,0
50,0
51,4
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,1
61,0
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,2
95,0
96,1
97,1
98,0
99,0
100,1
101,1
102,2
103,2
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,2
112,0
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,2
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,1
132,2
133,5
134,1
135,0
136,1
137,1
138,1
139,2
140,1
141,1
142,0
143,3
144,0
145,0
146,1
147,2
148,1
149,3
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,0
163,0
164,2
165,0
166,1
167,1
168,1
169,0
170,2
171,0
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,3
180,1
181,0
182,2
183,0
184,1
185,2
186,1
187,1
188,0
189,0
190,2
191,1
192,1
193,0
194,0
195,2
196,1
197,1
198,0
199,2
200,2
201,0
202,1
203,1
204,2
205,0
206,1
207,0
208,0
209,0
210,0
211,1
212,0
213,2
214,0
215,1
216,1
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,2
232,0
233,1
234,2
235,1
236,0
237,1
238,0
239,3
240,0
241,2
242,1
243,0
244,1
245,4
246,0
247,1
248,4
249,2
250,1
251,1
252,3
253,2
254,2
255,2
256,1
257,4
258,1
259,1
260,0
261,0
262,2
263,2
264,0
265,0
266,4
267,1
268,0
269,1
270,2
271,0
272,3
273,0
274,1
275,1
276,0
277,2
278,2
279,2
280,1
281,0
282,0
283,2
284,0
285,1
286,2
287,0
288,1
289,0
290,0
291,2
292,2
293,0
294,0
295,1
296,2
297,2
298,1
299,1
300,0
301,0
302,0
303,2
304,0
305,1
306,0
307,2
308,2
309,0
310,0
311,0
312,0
313,2
314,1
315,1
316,4
317,1
318,0
319,0
320,2
321,1
322,1
323,2
324,1
325,2
326,1
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,4
336,1
337,0
338,2
339,0
340,2
341,1
342,2
343,0
344,3
345,0
346,1
347,0
348,1
349,1
350,0
351,0
352,0
353,1
354,1
355,0
356,2
357,1
358,1
359,2
360,2
361,2
362,5
363,0
364,1
365,9
366,1
367,0
368,1
369,1
370,0
371,1
372,2
373,8
374,0
375,0
376,1
377,1
378,1
379,0
380,1
381,0
382,4
383,1
384,3
385,0
386,1
387,0
388,2
389,1
390,0
391,0
392,2
393,2
394,1
395,0
396,1
397,5
398,1
399,0
400,0
401,1
402,1
403,3
404,1
405,1
406,1
407,0
408,1
409,2
410,11
411,1
412,2
413,1
414,1
415,1
416,1
417,1
418,3
419,0
420,1
421,0
422,2
423,0
424,1
425,5
426,3
427,7
428,2
429,2
430,0
431,6
432,2
433,6
434,1
435,0
436,2
437,2
438,3
439,0
440,4
441,0
442,0
443,1
444,0
445,6
446,4
447,2
448,5
449,2
450,2
451,0
452,1
453,3
454,0
455,4
456,3
457,1
458,4
459,1
460,0
461,1
462,0
463,0
464,0
465,2
466,2
467,1
468,2
469,0
470,0
471,3
472,8
473,0
474,0
475,2
476,1
477,1
478,3
479,1
480,3
481,1
482,0
483,0
484,0
485,1
486,3
487,1
488,0
489,0
490,4
491,1
492,0
493,0
494,1
495,0
496,3
497,7
498,5
499,1
500,1
501,1
502,1
503,2
504,3
505,1
506,1
507,2
508,1
509,2
510,1
511,1
512,1
513,3
514,0
515,2
516,0
517,4
518,2
519,4
520,1
521,5
522,4
523,1
524,1
525,2
526,3
527,5
528,8
529,1
530,3
531,2
532,2
