episode,score
0,0
1,0
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,2
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,0
72,2
73,1
74,0
75,0
76,2
77,0
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,1
93,0
94,0
95,0
96,1
97,2
98,0
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,1
151,1
152,0
153,1
154,0
155,3
156,0
157,1
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,4
171,1
172,0
173,2
174,1
175,2
176,0
177,1
178,0
179,1
180,1
181,0
182,2
183,1
184,0
185,1
186,1
187,0
188,2
189,1
190,0
191,1
192,0
193,1
194,0
195,2
196,0
197,1
198,0
199,0
200,2
201,1
202,1
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,2
214,1
215,2
216,2
217,0
218,4
219,0
220,0
221,0
222,0
223,1
224,3
225,1
226,0
227,3
228,1
229,0
230,1
231,3
232,3
233,0
234,1
235,2
236,2
237,0
238,1
239,0
240,1
241,0
242,0
243,1
244,1
245,0
246,1
247,1
248,2
249,1
250,1
251,2
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,2
266,0
267,2
268,4
269,1
270,2
271,0
272,1
273,2
274,1
275,0
276,5
277,2
278,1
279,0
280,0
281,1
282,0
283,1
284,3
285,2
286,4
287,0
288,0
289,0
290,0
291,1
292,1
293,1
294,2
295,0
296,1
297,0
298,0
299,3
300,2
301,1
302,0
303,0
304,1
305,1
306,6
307,2
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,3
320,0
321,1
322,2
323,0
324,1
325,8
326,0
327,0
328,4
329,1
330,1
331,1
332,1
333,3
334,1
335,4
336,1
337,3
338,0
339,1
340,3
341,0
342,3
343,1
344,2
345,2
346,1
347,2
348,2
349,9
350,1
351,0
352,1
353,3
354,1
355,2
356,1
357,1
358,1
359,2
360,1
361,1
362,1
363,1
364,1
365,3
366,0
367,0
368,2
369,0
370,4
371,1
372,2
373,0
374,1
375,2
376,0
377,3
378,3
379,2
380,3
381,0
382,0
383,3
384,4
385,1
386,2
387,0
388,10
389,1
390,1
391,3
392,0
393,3
394,0
395,1
396,0
397,3
398,2
399,3
400,2
401,0
402,3
403,1
404,1
405,0
406,4
407,6
408,2
409,1
410,1
411,1
412,0
413,1
414,3
415,0
416,5
417,2
418,1
419,1
420,3
421,2
422,1
423,1
424,0
425,3
426,0
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,0
436,1
437,6
438,0
439,7
440,1
441,1
442,14
443,0
444,1
445,0
446,2
447,6
448,5
449,3
450,1
451,7
452,4
453,1
454,1
455,1
456,0
457,2
458,0
459,4
460,1
461,8
462,1
463,9
464,2
465,8
466,0
467,1
468,11
469,2
470,13
471,7
472,0
473,1
474,0
475,1
476,3
477,2
478,1
479,6
480,0
481,1
482,1
483,0
484,13
485,1
486,9
487,1
488,1
489,2
490,0
491,2
492,1
493,3
494,2
495,2
496,5
497,2
498,0
499,1
500,7
501,3
502,5
503,1
504,3
505,1
506,3
507,3
508,2
509,1
510,1
511,1
512,2
513,5
514,3
515,0
516,0
517,0
518,16
519,2
520,2
521,2
522,2
523,5
524,3
525,11
526,3
527,0
528,2
529,2
530,1
531,1
532,4
