episode,score
0,0
1,2711
2,975
3,2431
4,971
5,1416
6,1518
7,804
8,7058
9,1045
10,6
11,2990
12,2445
13,2736
14,5159
15,675
16,859
17,386
18,149
19,2843
20,2386
21,405
22,727
23,2251
24,739
25,950
26,7212
27,1713
28,1348
29,2492
30,1840
31,2635
32,569
33,3149
34,1183
35,1428
36,1742
37,44
38,520
39,650
40,981
41,251
42,579
43,2035
44,618
45,1228
46,979
47,488
48,250
49,1410
50,2289
51,375
52,209
53,1538
54,1680
55,1673
56,533
57,616
58,5668
59,1846
60,2733
61,2417
62,797
63,5094
64,785
65,4250
66,5917
67,1021
68,1455
69,819
70,2582
71,166
72,164
73,2407
74,678
75,70
76,709
77,1171
78,6493
79,185
80,641
81,1335
82,2216
83,3237
84,902
85,1787
86,861
87,2043
88,2782
89,42
90,792
91,450
92,2030
93,6626
94,1167
95,1802
96,981
97,1911
98,1055
99,299
100,960
101,4440
102,822
103,3175
104,2539
105,1009
106,1745
107,3079
108,4187
109,882
110,1600
111,78
112,3039
113,126
114,3207
115,2706
116,7834
117,282
118,1233
119,1583
120,1001
121,163
122,906
123,26
124,2388
125,7
126,3151
127,12656
128,386
129,2463
130,5631
131,4735
132,715
133,342
134,299
135,1637
136,180
137,802
138,228
139,667
140,2146
141,369
142,1237
143,1664
144,458
145,1431
146,25
147,302
148,3885
149,1787
150,2158
151,5672
152,1305
153,4368
154,3690
155,507
156,1907
157,1238
158,1399
159,2039
160,238
161,3031
162,2479
163,331
164,3145
165,2010
166,3222
167,3110
168,166
169,421
170,777
171,1575
172,232
173,850
174,52
175,215
176,345
177,2330
178,1261
179,268
180,2093
181,5170
182,325
183,4133
184,1936
185,3304
186,4160
187,2338
188,349
189,1281
190,1269
191,486
192,148
193,183
194,1227
195,2081
196,3524
197,2084
198,314
199,17
200,1383
201,87
202,3651
203,1386
204,882
205,3177
206,1410
207,563
208,1859
209,48
210,106
211,1430
212,4843
213,299
214,254
215,2880
216,768
217,735
218,2631
219,65
220,2370
221,2358
222,1233
223,7998
224,896
225,1438
226,1453
227,343
228,1148
229,188
230,10793
231,80
232,880
233,2703
234,1062
235,902
236,1050
237,7572
238,1034
239,3802
240,360
241,1936
242,504
243,1048
244,412
245,276
246,2281
247,1303
248,900
249,592
250,2289
251,4806
252,863
253,963
254,222
255,1417
256,3049
257,94
258,883
259,5884
260,3060
261,1133
262,2004
263,6647
264,438
265,1433
266,505
267,1338
268,892
269,144
270,313
